BASE32 DECODE:	исходное сообщение: 01011001 ---> вывод: MC KHOVANSKY
BASE64:		    исходное сообщение: 110010 ---> вывод: RmFsc2UgbWlycm9y
BASE64 DECODE:	исходное сообщение: 01110010 ---> вывод: False mirror
BASE64 DECODE:	исходное сообщение: 01110010 ---> вывод: False mirror
BASE64:			исходное сообщение: 100001 ---> вывод: TmlraXRh
BASE64 DECODE:	исходное сообщение: 01100001 ---> вывод: Nikita
BASE64:			исходное сообщение: 101110 ---> вывод: T3h4eG1pcm9u
BASE64 DECODE:	исходное сообщение: 01101110 ---> вывод: Oxxxmiron
BASE64 DECODE:	исходное сообщение: 01101110 ---> вывод: Oxxxmiron
BASE64:			исходное сообщение: 111000 ---> вывод: T3h4
BASE64 DECODE:	исходное сообщение: T3h4 ---> вывод: Oxx
BASE64:			исходное сообщение: Hi ---> вывод: SGk=
BASE32:			исходное сообщение: Hello ---> вывод: JBSWY3DP
BASE64:			исходное сообщение: Hello ---> вывод: SGVsbG8=
BASE64:			исходное сообщение: ABC ---> вывод: QUJD
BASE64:			исходное сообщение: Hello ---> вывод: SGVsbG8=
BASE64:			исходное сообщение: hi ---> вывод: aGk=
BASE64:			исходное сообщение: Hi ---> вывод: SGk=
BASE64:			исходное сообщение: H ---> вывод: SA==
BASE64:			исходное сообщение: HELLO ---> вывод: SEVMTE8=
BASE64 DECODE:	исходное сообщение: SEVMTE8= ---> вывод: HELLO
BASE64:			исходное сообщение: hello ---> вывод: aGVsbG8=
BASE64:			исходное сообщение: nokta ---> вывод: bm9rdGE=
BASE64:			исходное сообщение: NIKITA ---> вывод: TklLSVRB
